date,action_id,proxy_value
2026-08-11,emoji_bait,338.8
2026-08-11,topic_pileup,233.0
2026-08-11,deep_original,86.9
2026-08-12,deep_original,90.0
2026-08-12,deep_original,77.2
2026-08-12,deep_original,76.3
2026-08-13,emoji_bait,338.9
2026-08-13,deep_original,81.6
2026-08-13,title_shock,365.5
2026-08-14,topic_pileup,225.8
2026-08-14,topic_pileup,220.3
2026-08-14,title_shock,369.0
2026-08-15,deep_original,88.9
2026-08-15,topic_pileup,231.5
2026-08-15,topic_pileup,215.3
2026-08-16,topic_pileup,217.6
2026-08-16,deep_original,90.0
2026-08-16,title_shock,378.7
2026-08-17,deep_original,81.8
2026-08-17,topic_pileup,230.6
2026-08-17,topic_pileup,229.5
2026-08-18,topic_pileup,227.2
2026-08-18,title_shock,378.7
2026-08-18,topic_pileup,222.3
2026-08-19,emoji_bait,352.2
2026-08-19,topic_pileup,228.2
2026-08-19,topic_pileup,227.7
2026-08-20,title_shock,371.6
2026-08-20,topic_pileup,216.1
2026-08-20,title_shock,373.5
2026-08-21,title_shock,376.6
2026-08-21,title_shock,362.9
2026-08-21,title_shock,370.7
2026-08-22,emoji_bait,350.7
2026-08-22,title_shock,370.2
2026-08-22,emoji_bait,334.1
2026-08-23,deep_original,79.2
2026-08-23,topic_pileup,216.5
2026-08-23,topic_pileup,224.2
2026-08-24,title_shock,358.7
2026-08-24,title_shock,380.3
2026-08-24,title_shock,375.5
2026-08-25,topic_pileup,221.7
2026-08-25,topic_pileup,229.6
2026-08-25,topic_pileup,227.1
2026-08-26,title_shock,379.6
2026-08-26,title_shock,364.4
2026-08-26,topic_pileup,217.6
2026-08-27,topic_pileup,225.8
2026-08-27,emoji_bait,336.7
2026-08-27,topic_pileup,233.2
2026-08-28,emoji_bait,350.3
2026-08-28,topic_pileup,231.5
2026-08-28,topic_pileup,216.8
2026-08-29,title_shock,380.4
2026-08-29,emoji_bait,343.6
2026-08-29,deep_original,76.0
2026-08-30,topic_pileup,233.6
2026-08-30,emoji_bait,352.4
2026-08-30,topic_pileup,215.3
2026-08-31,title_shock,369.5
2026-08-31,title_shock,372.5
2026-08-31,title_shock,364.9
2026-09-01,title_shock,369.3
2026-09-01,topic_pileup,215.0
2026-09-01,title_shock,368.2
